,Well,Fluor,Target,Content,Sample,Cq,SQ
,K20,SYBR,,Unkn,,NaN,NaN
,K21,SYBR,,Unkn,,NaN,NaN
,K22,SYBR,,Unkn,,NaN,NaN
,K23,SYBR,,Unkn,,NaN,NaN
,K24,SYBR,,Unkn,,NaN,NaN
,L01,SYBR,,Unkn,,24.1190611754455,NaN
,L02,SYBR,,Unkn,,24.3071000805362,NaN
,L03,SYBR,,Unkn,,29.023989031666,NaN
,L04,SYBR,,Unkn,,29.2905155752323,NaN
,L05,SYBR,,Unkn,,25.2205804502227,NaN
,L06,SYBR,,Unkn,,25.7387178563621,NaN
,L07,SYBR,,Unkn,,21.5419876888126,NaN
,L08,SYBR,,Unkn,,22.293113081121,NaN
,L09,SYBR,,Unkn,,28.1962323463865,NaN
,L10,SYBR,,Unkn,,28.3659536469425,NaN
,L11,SYBR,,Unkn,,20.9310742964793,NaN
,L12,SYBR,,Unkn,,21.3316817254954,NaN
,L13,SYBR,,Unkn,,NaN,NaN
,L14,SYBR,,Unkn,,NaN,NaN
,L15,SYBR,,Unkn,,NaN,NaN
,L16,SYBR,,Unkn,,NaN,NaN
,L17,SYBR,,Unkn,,NaN,NaN
,L18,SYBR,,Unkn,,NaN,NaN
,L19,SYBR,,Unkn,,NaN,NaN
,L20,SYBR,,Unkn,,NaN,NaN
,L21,SYBR,,Unkn,,NaN,NaN
,L22,SYBR,,Unkn,,NaN,NaN
,L23,SYBR,,Unkn,,NaN,NaN
,L24,SYBR,,Unkn,,NaN,NaN
,M01,SYBR,,Unkn,,29.3213593827042,NaN
,M02,SYBR,,Unkn,,29.8829384966585,NaN
,M03,SYBR,,Unkn,,29.1285853469518,NaN
,M04,SYBR,,Unkn,,29.4314616557597,NaN
,M05,SYBR,,Unkn,,29.5715498505269,NaN
,M06,SYBR,,Unkn,,30.3315403637348,NaN
,M07,SYBR,,Unkn,,27.3378805125458,NaN
,M08,SYBR,,Unkn,,33.3415616387733,NaN
,M09,SYBR,,Unkn,,27.6937443845797,NaN
,M10,SYBR,,Unkn,,38.3371987075667,NaN
,M11,SYBR,,Unkn,,27.3503290799727,NaN
,M12,SYBR,,Unkn,,28.8628459848438,NaN
,M13,SYBR,,Unkn,,NaN,NaN
,M14,SYBR,,Unkn,,NaN,NaN
,M15,SYBR,,Unkn,,NaN,NaN
,M16,SYBR,,Unkn,,NaN,NaN
,M17,SYBR,,Unkn,,NaN,NaN
,M18,SYBR,,Unkn,,NaN,NaN
,M19,SYBR,,Unkn,,NaN,NaN
,M20,SYBR,,Unkn,,NaN,NaN
,M21,SYBR,,Unkn,,NaN,NaN
,M22,SYBR,,Unkn,,NaN,NaN
