Well,Gene,Target,Oligo,Bio_Rep,Cq,,,,,,,
D09,Ctu1,Empty,sh1,1,28.88,,,,,,,
D10,Ctu1,Empty,sh1,1,28.69,,,,,,,
D11,Ctu1,Empty,sh1,2,26.85,,,,,,,
D12,Ctu1,Empty,sh1,2,29.00,,,,,,,
D13,Gapdh,Ctu1,sh1,1,19.14,,,,,,,
D14,Gapdh,Ctu1,sh1,1,18.85,,,,,,,
D15,Gapdh,Ctu1,sh1,2,18.53,,,,,,,
D16,Gapdh,Ctu1,sh1,2,18.69,,,,,,,
D17,Gapdh,Ctu2,sh1,1,17.38,,,,,,,
D18,Gapdh,Ctu2,sh1,1,17.73,,,,,,,
D19,Gapdh,Ctu2,sh1,2,17.63,,,,,,,
D20,Gapdh,Ctu2,sh1,2,18.04,,,,,,,
D21,Gapdh,Empty,sh1,1,18.15,,,,,,,
D22,Gapdh,Empty,sh1,1,18.03,,,,,,,
D23,Gapdh,Empty,sh1,2,19.43,,,,,,,
D24,Gapdh,Empty,sh1,2,19.61,,,,,,,
E01,Ctu1,Ctu1,g5,1,28.60,,,,,,,
E02,Ctu1,Ctu1,g5,1,27.89,,,,,,,
E03,Ctu1,Ctu1,g5,2,28.09,,,,,,,
E04,Ctu1,Ctu1,g5,2,28.58,,,,,,,
E05,Ctu1,Ctu2,g5,1,28.64,,,,,,,
E06,Ctu1,Ctu2,g5,1,28.56,,,,,,,
E07,Ctu1,Ctu2,g5,2,28.75,,,,,,,
E08,Ctu1,Ctu2,g5,2,27.21,,,,,,,
E09,Ctu1,None,,3,29.13,,,,,,,
E10,Ctu1,None,,3,29.57,,,,,,,
E11,Ctu1,None,,4,29.49,,,,,,,
E12,Ctu1,None,,4,29.20,,,,,,,
E13,Gapdh,Ctu1,g5,1,18.51,,,,,,,
E14,Gapdh,Ctu1,g5,1,18.56,,,,,,,
E15,Gapdh,Ctu1,g5,2,18.70,,,,,,,
E16,Gapdh,Ctu1,g5,2,18.33,,,,,,,
E17,Gapdh,Ctu2,g5,1,18.44,,,,,,,
E18,Gapdh,Ctu2,g5,1,18.66,,,,,,,
E19,Gapdh,Ctu2,g5,2,17.52,,,,,,,
E20,Gapdh,Ctu2,g5,2,17.55,,,,,,,
E21,Gapdh,None,,3,27.02,,,,,,,
E22,Gapdh,None,,3,26.07,,,,,,,
E23,Gapdh,None,,4,27.55,,,,,,,
E24,Gapdh,None,,4,26.94,,,,,,,
F01,Ctu1,Ctu1,g4,1,27.91,,,,,,,
F02,Ctu1,Ctu1,g4,1,27.92,,,,,,,
F03,Ctu1,Ctu1,g4,2,28.08,,,,,,,
F04,Ctu1,Ctu1,g4,2,27.66,,,,,,,
F05,Ctu1,Ctu2,g4,1,27.01,,,,,,,
F06,Ctu1,Ctu2,g4,1,28.35,,,,,,,
F07,Ctu1,Ctu2,g4,2,29.19,,,,,,,
F08,Ctu1,Ctu2,g4,2,29.53,,,,,,,
F09,Ctu1,Myd88,g1,1,29.64,,,,,,,
F10,Ctu1,Myd88,g1,1,27.15,,,,,,,
F11,Ctu1,Myd88,g1,2,29.65,,,,,,,
F12,Ctu1,Myd88,g1,2,29.31,,,,,,,
F13,Gapdh,Ctu1,g4,1,20.63,,,,,,,
F14,Gapdh,Ctu1,g4,1,20.34,,,,,,,
F15,Gapdh,Ctu1,g4,2,20.18,,,,,,,
F16,Gapdh,Ctu1,g4,2,20.01,,,,,,,
F17,Gapdh,Ctu2,g4,1,20.09,,,,,,,
F18,Gapdh,Ctu2,g4,1,19.79,,,,,,,
F19,Gapdh,Ctu2,g4,2,20.98,,,,,,,
