,Oligo,Target,gene,Bio_Rep,Target_oligo,Tech_Rep_1,Tech_Rep_2,Avg_Cq,,,
94,sh1,Ctu2,Gapdh,1,Ctu2_sh1,20.29443638,20.46621728,20.38033,7.32672E-07,,
95,sh2,Ctu2,Gapdh,1,Ctu2_sh2,20.63790451,20.70900361,20.67345,5.97959E-07,,
96,sh3,Ctu2,Gapdh,1,Ctu2_sh3,20.61417008,20.58564774,20.59991,6.2923E-07,,
97,sh4,Ctu2,Gapdh,1,Ctu2_sh4,20.14931123,19.83766727,19.99349,9.57987E-07,,
98,sh5,Ctu2,Gapdh,1,Ctu2_sh5,20.3446891,20.15921763,20.25195,8.00858E-07,,
99,g1,Ctu2,Gapdh,2,Ctu2_g1,21.02462209,20.64323106,20.83393,5.3501E-07,,
100,g2,Ctu2,Gapdh,2,Ctu2_g2,20.52061516,20.37034244,20.44548,7.00321E-07,,
101,g3,Ctu2,Gapdh,2,Ctu2_g3,20.11926041,20.31191303,20.21559,8.21299E-07,,
102,g4,Ctu2,Gapdh,2,Ctu2_g4,20.21446458,20.22117197,20.21782,8.2003E-07,,
103,g5,Ctu2,Gapdh,2,Ctu2_g5,19.88003417,19.60164392,19.74084,1.14134E-06,,
104,sh1,Ctu2,Gapdh,2,Ctu2_sh1,20.2839575,20.30496409,20.29446,7.77605E-07,,
105,sh2,Ctu2,Gapdh,2,Ctu2_sh2,20.51243059,20.682955,20.59769,6.30199E-07,,
106,sh3,Ctu2,Gapdh,2,Ctu2_sh3,20.83665802,20.76526356,20.80096,5.47378E-07,,
107,sh4,Ctu2,Gapdh,2,Ctu2_sh4,19.93592046,20.20435242,20.07014,9.08418E-07,,
108,sh5,Ctu2,Gapdh,2,Ctu2_sh5,20.6818372,NULL,20.68184,5.94492E-07,,
109,g1,Scr,Gapdh,1,Scr_g1,20.77286632,20.38946227,20.58116,6.37461E-07,,
110,g2,Scr,Gapdh,1,Scr_g2,20.48124359,20.55634847,20.5188,6.65619E-07,,
111,g3,Scr,Gapdh,1,Scr_g3,20.22437328,20.1613063,20.19284,8.34352E-07,,
112,g1,Myd88,Gapdh,1,Myd88_g1,20.36856589,20.49646694,20.43252,7.06641E-07,,
113,,None,Gapdh,1,None,"c(28.32445239,Ê28.56767262)","c(28.1886391,Ê27.9377994)",28.25464,3.12252E-09,,
114,sh1,Scr,Gapdh,1,Scr_sh1,20.34040392,20.15473384,20.24757,8.03293E-07,,
