"","Bio_Rep","Target_oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"96","2","Ctu2_g3","Ctu2","25.12665","25.29088","25.20876","2.578729e-08","16.22450"," 8.9842664","1.974542e-03","1.305988e-05","gRNA","26.29975","1.210558e-08","10.521530","6.803055e-04","15.77822","1.779433e-05","Ctu2"
"97","2","Ctu2_g4","Ctu2","24.86403","25.21016","25.03709","2.904582e-08","15.94999"," 9.0871078","1.838688e-03","1.579704e-05","gRNA","24.97006","3.042720e-08"," 8.458021","2.843688e-03","16.51204","1.069991e-05","Ctu2"
"98","2","Ctu2_g5","Ctu2","26.02558","26.43022","26.22790","1.272377e-08","17.34426"," 8.8836425","2.117177e-03","6.009781e-06","gRNA","26.35707","1.163406e-08"," 8.827325","2.201458e-03","17.52974","5.284708e-06","Ctu2"
"99","2","Myd88_g1","Ctu2","24.61790","25.02833","24.82311","3.368976e-08","16.31382"," 8.5092912","2.744404e-03","1.227580e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"100","2","Myd88_g1","Ctu2","24.61790","25.02833","24.82311","3.368976e-08","16.10095"," 8.7221681","2.367913e-03","1.422762e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"101","2","Myd88_g1","Ctu2","24.61790","25.02833","24.82311","3.368976e-08","17.91133"," 6.9117823","8.305126e-03","4.056502e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"102","2","Myd88_g1","Ctu2","24.61790","25.02833","24.82311","3.368976e-08","16.05559"," 8.7675243","2.294628e-03","1.468202e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"103","2","Myd88_g1","Ctu2","24.61790","25.02833","24.82311","3.368976e-08","16.50840"," 8.3147130","3.140668e-03","1.072694e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"104","2","Myd88_g1","Ctu2","24.58891","24.71874","24.65382","3.788436e-08","16.31382"," 8.3399987","3.086102e-03","1.227580e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"105","2","Myd88_g1","Ctu2","24.58891","24.71874","24.65382","3.788436e-08","16.10095"," 8.5528756","2.662735e-03","1.422762e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"106","2","Myd88_g1","Ctu2","24.58891","24.71874","24.65382","3.788436e-08","17.91133"," 6.7424898","9.339171e-03","4.056502e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"107","2","Myd88_g1","Ctu2","24.58891","24.71874","24.65382","3.788436e-08","16.05559"," 8.5982318","2.580324e-03","1.468202e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"108","2","Myd88_g1","Ctu2","24.58891","24.71874","24.65382","3.788436e-08","16.50840"," 8.1454205","3.531702e-03","1.072694e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"109","2","Myd88_g1","Ctu2","24.34995","24.38800","24.36898","4.615377e-08","16.31382"," 8.0551529","3.759736e-03","1.227580e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"110","2","Myd88_g1","Ctu2","24.34995","24.38800","24.36898","4.615377e-08","16.10095"," 8.2680298","3.243956e-03","1.422762e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"111","2","Myd88_g1","Ctu2","24.34995","24.38800","24.36898","4.615377e-08","17.91133"," 6.4576440","1.137773e-02","4.056502e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"112","2","Myd88_g1","Ctu2","24.34995","24.38800","24.36898","4.615377e-08","16.05559"," 8.3133860","3.143558e-03","1.468202e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"113","2","Myd88_g1","Ctu2","24.34995","24.38800","24.36898","4.615377e-08","16.50840"," 7.8605747","4.302603e-03","1.072694e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"114","2","Myd88_g1","Ctu2","26.06805","26.99422","26.53114","1.031173e-08","16.31382","10.2173151","8.400046e-04","1.227580e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"115","2","Myd88_g1","Ctu2","26.06805","26.99422","26.53114","1.031173e-08","16.10095","10.4301920","7.247686e-04","1.422762e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"116","2","Myd88_g1","Ctu2","26.06805","26.99422","26.53114","1.031173e-08","17.91133"," 8.6198062","2.542025e-03","4.056502e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"117","2","Myd88_g1","Ctu2","26.06805","26.99422","26.53114","1.031173e-08","16.05559","10.4755482","7.023374e-04","1.468202e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"118","2","Myd88_g1","Ctu2","26.06805","26.99422","26.53114","1.031173e-08","16.50840","10.0227369","9.612925e-04","1.072694e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"119","2","Myd88_g1","Ctu2","26.26549","26.31322","26.28935","1.219315e-08","16.31382"," 9.9755305","9.932672e-04","1.227580e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"120","2","Myd88_g1","Ctu2","26.26549","26.31322","26.28935","1.219315e-08","16.10095","10.1884074","8.570058e-04","1.422762e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"121","2","Myd88_g1","Ctu2","26.26549","26.31322","26.28935","1.219315e-08","17.91133"," 8.3780215","3.005829e-03","4.056502e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"122","2","Myd88_g1","Ctu2","26.26549","26.31322","26.28935","1.219315e-08","16.05559","10.2337636","8.304819e-04","1.468202e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"123","2","Myd88_g1","Ctu2","26.26549","26.31322","26.28935","1.219315e-08","16.50840"," 9.7809523","1.136685e-03","1.072694e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"124","2","Scr_g2","Ctu2","24.42593","24.59972","24.51282","4.177389e-08","16.34006"," 8.1727616","3.465402e-03","1.205456e-05","gRNA","24.64878","3.801702e-08"," 8.056645","3.755850e-03","16.59213","1.012208e-05","Control"
"125","2",NA,"Ctu2","25.16543","25.27679","25.22111","2.556756e-08","17.50406"," 7.7170543","4.752643e-03","5.379652e-06","shRNA","25.15885","2.669505e-08"," 7.893560","4.205345e-03","17.26529","6.347885e-06","Control"
"126","1","Ctu2_g4","Il6","32.06550","31.35998","31.71274","2.841279e-10","17.07410","14.6386431","3.920391e-05","7.247439e-06","gRNA","31.22511","3.983878e-10","14.713066","3.723282e-05","16.51204","1.069991e-05","Ctu2"
"127","1","Ctu2_g5","Il6","32.80530","31.37350","32.08940","2.188410e-10","17.71523","14.3741648","4.709179e-05","4.647115e-06","gRNA","31.17703","4.118871e-10","13.647287","7.793942e-05","17.52974","5.284708e-06","Ctu2"
"128","1","Myd88_g1","Il6","18.75914","18.79429","18.77672","2.226616e-06","16.15968"," 2.6170386","1.630020e-01","1.366005e-05","gRNA","21.69335","2.948837e-07"," 5.178724","2.760887e-02","16.51463","1.068076e-05","Control"
"129","1","Myd88_g1","Il6","18.75914","18.79429","18.77672","2.226616e-06","16.70498"," 2.0717326","2.378737e-01","9.360498e-06","gRNA","21.69335","2.948837e-07"," 5.178724","2.760887e-02","16.51463","1.068076e-05","Control"
"130","1","Myd88_g1","Il6","18.75914","18.79429","18.77672","2.226616e-06","17.22666"," 1.5500540","3.414973e-01","6.520157e-06","gRNA","21.69335","2.948837e-07"," 5.178724","2.760887e-02","16.51463","1.068076e-05","Control"
"131","1","Myd88_g1","Il6","18.75914","18.79429","18.77672","2.226616e-06","15.57098"," 3.2057391","1.083868e-01","2.054324e-05","gRNA","21.69335","2.948837e-07"," 5.178724","2.760887e-02","16.51463","1.068076e-05","Control"
"132","1","Myd88_g1","Il6","20.72722","20.65079","20.68900","5.915466e-07","16.15968"," 4.5293276","4.330485e-02","1.366005e-05","gRNA","21.69335","2.948837e-07"," 5.178724","2.760887e-02","16.51463","1.068076e-05","Control"
"133","1","Myd88_g1","Il6","20.72722","20.65079","20.68900","5.915466e-07","16.70498"," 3.9840216","6.319606e-02","9.360498e-06","gRNA","21.69335","2.948837e-07"," 5.178724","2.760887e-02","16.51463","1.068076e-05","Control"
