"","Bio_Rep","Target_oligo","Target","Oligo","Virus_amount","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"65","2","Ctu2_sh17","Ctu2","sh17","100 uL","Ctu2","27.02399","27.82694","27.42546","5.547694e-09","19.29533"," 8.130136","0.0035693176","1.554273e-06","27.58712","0.1616551000","4.959632e-09"," 8.523000","7.494508e-04","0.0027184504","19.06412","0.23120868","1.824434e-06","shRNA"
"66","2","Ctu2_sh17","Ctu2","sh17","30 uL","Ctu2","28.18328","28.36942","28.27635","3.075879e-09","19.27268"," 9.003674","0.0019481573","1.578866e-06","28.21533","0.0610222425","3.208771e-09"," 8.733211","4.431144e-04","0.0023498574","19.48212","0.20944081","1.365517e-06","shRNA"
"67","2","Ctu2_sh6","Ctu2","sh6","100 uL","Ctu2","25.90402","26.16666","26.03534","1.454058e-08","18.16904"," 7.866296","0.0042855722","3.392916e-06","26.20982","0.1744854850","1.288417e-08"," 8.119060","6.334003e-04","0.0035968269","18.09077","0.07827763","3.582094e-06","shRNA"
"68","2","Ctu2_sh6","Ctu2","sh6","30 uL","Ctu2","27.77298","27.03202","27.40250","5.636702e-09","18.29948"," 9.103019","0.0018185202","3.099609e-06","27.26433","0.1381692150","6.203234e-09"," 9.029543","9.749839e-05","0.0019135363","18.23479","0.06469287","3.241765e-06","shRNA"
"69","2","Ctu2_sh7","Ctu2","sh7","100 uL","Ctu2","26.46550","26.23670","26.35110","1.168229e-08","17.66042"," 8.690677","0.0024201682","4.827057e-06","26.84163","0.4905329025","8.315012e-09"," 8.872782","2.699766e-04","0.0021331752","17.96885","0.30842809","3.897951e-06","shRNA"
"70","2","Ctu2_sh7","Ctu2","sh7","30 uL","Ctu2","26.57830","27.18065","26.87948","8.099733e-09","18.29372"," 8.585761","0.0026027261","3.112019e-06","27.02757","0.1480950025","7.309534e-09"," 8.627020","7.234516e-05","0.0025293465","18.40055","0.10683621","2.889890e-06","shRNA"
"71","2","Ctu2_sh8","Ctu2","sh8","100 uL","Ctu2","27.17023","27.70254","27.43638","5.505864e-09","17.64926"," 9.787127","0.0011318301","4.864568e-06","27.56738","0.1310005850","5.027944e-09"," 9.147512","8.076145e-04","0.0017632935","18.41987","0.77061589","2.851450e-06","shRNA"
"72","2","Ctu2_sh8","Ctu2","sh8","30 uL","Ctu2","28.30851","28.47152","28.39001","2.842854e-09","19.37310"," 9.016914","0.0019303601","1.472707e-06","28.04372","0.3462926175","3.614091e-09"," 8.981621","4.839728e-05","0.0019781655","19.06210","0.31099954","1.826991e-06","shRNA"
"73","2","Empty_sh11","Empty","sh11","100 uL","Ctu2","26.23894","25.29415","25.76655","1.751848e-08","17.66892"," 8.097629","0.0036506548","4.798724e-06","25.73813","0.0284131825","1.786692e-08"," 8.316141","4.770365e-04","0.0031375611","17.42199","0.24692491","5.694526e-06","shRNA"
"74","2","Empty_sh11","Empty","sh11","30 uL","Ctu2","26.13029","25.94953","26.03991","1.449458e-08","18.33557"," 7.704340","0.0047947120","3.023035e-06","26.05676","0.0168499150","1.432628e-08"," 7.681174","7.824035e-05","0.0048723242","18.37559","0.04001588","2.940338e-06","shRNA"
"75","2","Scr_sh14","Scr","sh14","100 uL","Ctu2","24.85216","25.55368","25.20292","2.589194e-08","17.76966"," 7.433259","0.0057858353","4.475056e-06","25.54684","0.3439210600","2.040018e-08"," 7.639896","7.205753e-04","0.0050137442","17.90695","0.13728419","4.068851e-06","shRNA"
"76","2","Scr_sh14","Scr","sh14","30 uL","Ctu2","26.15244","26.02580","26.08912","1.400848e-08","17.74256"," 8.346566","0.0030720859","4.559924e-06","26.04921","0.0399117475","1.440143e-08"," 8.191590","3.681359e-04","0.0034204681","17.85762","0.11506349","4.210368e-06","shRNA"
"77","2","Scr_sh15","Scr","sh15","100 uL","Ctu2","26.19611","26.06288","26.12949","1.362195e-08","17.71269"," 8.416799","0.0029261120","4.655308e-06","25.99559","0.1338974700","1.494674e-08"," 8.195409","5.255610e-04","0.0034114267","17.80018","0.08749277","4.381375e-06","shRNA"
"78","2","Scr_sh15","Scr","sh15","30 uL","Ctu2","26.08057","26.27302","26.17680","1.318255e-08","18.66736"," 7.509435","0.0054882628","2.401953e-06","26.12620","0.0505947000","1.365306e-08"," 7.558317","1.797945e-04","0.0053054227","18.56788","0.09947657","2.573415e-06","shRNA"
